OrganizationIdentifier,OrganizationFormalName,ActivityMediaName,ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultCommentTest,ProviderName
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/17/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.27,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/24/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,7/31/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.49,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/7/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/14/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.41,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/21/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.66,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,8/28/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.78,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/4/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,1.01,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/11/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,1.11,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/18/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.93,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,9/25/2017,21NEB001_WQX-LLP2BRNOAK09,Microcystin,0.78,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/4/2015,21NEB001_WQX-LBB1BIGIND02,Microcystin,0.56,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/11/2015,21NEB001_WQX-LBB1BIGIND02,Microcystin,0.34,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/18/2015,21NEB001_WQX-LBB1BIGIND02,Microcystin,0.19,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,5/25/2015,21NEB001_WQX-LBB1BIGIND02,Microcystin,0.44,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/1/2015,21NEB001_WQX-LBB1BIGIND02,Microcystin,1.52,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/8/2015,21NEB001_WQX-LBB1BIGIND02,Microcystin,0,ug/l,,DEQ.NE.GOV
21NEB001_WQX,Nebraska Dept. of Environmental Quality,Water,6/15/2015,21NEB001_WQX-LBB1BIGIND02,Microcystin,0,ug/l,,DEQ.NE.GOV
